user_id,recomendations
37,"[874972, 1122358, 904813, 1067695, 1046689]"
38,"[874972, 1029743, 1127831, 1082185, 951590]"
39,"[874972, 965982, 12781828, 1127716, 13008321]"
40,"[874972, 1067820, 1035136, 1083043, 9913338]"
41,"[874972, 845307, 865705, 909714, 1120009]"
42,"[874972, 963686, 928123, 1112766, 897953]"
43,"[874972, 1095068, 821787, 1029743, 1082185]"
44,"[874972, 1082185, 1106523, 1127831, 951590]"
45,"[874972, 1029743, 1082185, 1127831, 951590]"
46,"[1108094, 902856, 822524, 8090532, 1082212]"
47,"[9677366, 1040935, 907308, 1126252, 9487606]"
48,"[874972, 1029743, 1082185, 1127831, 951590]"
49,"[12384953, 6602697, 7409971, 1129610, 895295]"
50,"[874972, 962229, 1093603, 9655528, 1048483]"
51,"[874972, 1088147, 880427, 867469, 1070272]"
52,"[874972, 898847, 1093113, 5569230, 1115553]"
53,"[874972, 825882, 820291, 5569471, 906883]"
54,"[874972, 1029743, 1082185, 1127831, 951590]"
55,"[874972, 1077373, 1078763, 844165, 13008334]"
56,"[12810389, 1119051, 922561, 1058997, 6464165]"
57,"[874972, 9676866, 1065593, 1011141, 9297062]"
58,"[995151, 10457044, 934399, 1070820, 900586]"
59,"[874972, 937928, 909338, 1133018, 826385]"
60,"[874972, 1029743, 1082185, 1127831, 951590]"
61,"[874972, 1029743, 1082185, 1127831, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 1127831]"
63,"[874972, 970619, 1029743, 1082185, 1106523]"
64,"[982469, 901460, 996425, 1138189, 1065593]"
65,"[874972, 5568378, 986912, 965766, 1029743]"
66,"[874972, 1082185, 1106523, 1127831, 951590]"
67,"[1118946, 926905, 832976, 835243, 1102927]"
68,"[874972, 901460, 946977, 947798, 1082990]"
69,"[874972, 842707, 1043663, 956486, 960253]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 865511, 13841744, 926905, 1101010]"
72,"[874972, 1029743, 1082185, 1106523, 1127831]"
73,"[874972, 1029743, 951590, 1082185, 1127831]"
74,"[874972, 1029743, 1082185, 1127831, 951590]"
75,"[874972, 1029743, 1082185, 1106523, 1127831]"
76,"[874972, 1029743, 1082185, 1127831, 951590]"
77,"[874972, 1060408, 1127758, 873964, 1126899]"
78,"[874972, 1104349, 6533681, 1039627, 995055]"
79,"[874972, 921504, 7441498, 1053690, 862349]"
80,"[874972, 854900, 978974, 986912, 953180]"
81,"[874972, 1076769, 916381, 995242, 1000050]"
82,"[874972, 929726, 1119761, 1029743, 1082185]"
83,"[874972, 1075214, 840361, 1029743, 1082185]"
84,"[874972, 5565369, 830887, 1029743, 1082185]"
85,"[874972, 840386, 887219, 1139782, 14106445]"
86,"[874972, 971922, 1101010, 1106523, 951590]"
87,"[874972, 965963, 8293385, 1029743, 1082185]"
88,"[874972, 1070820, 916993, 13115914, 8090521]"
89,"[874972, 1029743, 951590, 1082185, 1127831]"
90,"[874972, 923789, 923149, 1070820, 879393]"
91,"[874972, 1088147, 1029743, 838637, 1113667]"
92,"[874972, 6979005, 1080853, 1068832, 5568721]"
93,"[874972, 1029743, 1082185, 1127831, 951590]"
94,"[874972, 1076580, 1013641, 12130522, 866211]"
95,"[874972, 835279, 910673, 922561, 8090519]"
96,"[874972, 1082185, 951590, 1029743, 1127831]"
97,"[874972, 831063, 1122358, 1075368, 1099164]"
98,"[874972, 1058997, 879755, 847241, 1012913]"
99,"[874972, 898601, 863885, 10457044, 948254]"
100,"[863762, 1111786, 5568197, 1116096, 891752]"
101,"[12731432, 862349, 821083, 8090509, 1056509]"
102,"[874972, 1029743, 1082185, 1127831, 951590]"
103,"[874972, 1029743, 1082185, 1106523, 1127831]"
104,"[906335, 1036501, 1074333, 8090536, 1011300]"
105,"[874972, 1056762, 849003, 879755, 960253]"
106,"[874972, 1092303, 1093413, 6534074, 1005456]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1106523, 951590, 1082185, 1127831]"
109,"[874972, 13842214, 919535, 1046756, 951412]"
110,"[874972, 1119089, 1031833, 1127758, 844165]"
111,"[874972, 8090536, 840601, 6602327, 12811532]"
112,"[874972, 7168026, 12384177, 1029743, 1082185]"
113,"[874972, 6979518, 1044759, 7410071, 1070820]"
114,"[874972, 1116096, 972456, 5568489, 1046689]"
115,"[947858, 836286, 1069522, 851287, 912451]"
116,"[874972, 923746, 850058, 1037863, 1029743]"
117,"[874972, 9420312, 1101932, 962229, 1135460]"
118,"[9524291, 1023196, 9803601, 1058997, 1135460]"
119,"[874972, 999581, 960732, 1131488, 940947]"
120,"[874972, 1029743, 1082185, 1127831, 951590]"
121,"[874972, 8090537, 856060, 1035676, 1055168]"
122,"[874972, 1035676, 9419525, 7409971, 1053176]"
123,"[874972, 8090509, 898510, 1029743, 852080]"
124,"[874972, 12263788, 1035676, 844179, 833025]"
125,"[874972, 9884484, 856252, 868764, 8090532]"
126,"[874972, 1019247, 962185, 898068, 1029743]"
127,"[874972, 5585510, 5570408, 1075368, 13842214]"
128,"[874972, 847241, 901062, 969932, 1082185]"
129,"[874972, 1106523, 951590, 1082185, 1127831]"
130,"[874972, 1029743, 1082185, 1127831, 951590]"
131,"[874972, 903609, 990656, 1026209, 1084968]"
132,"[874972, 1084968, 1126899, 1060673, 9926758]"
133,"[874972, 6514160, 5582712, 6513604, 887102]"
134,"[874972, 862682, 6533362, 5592931, 838186]"
135,"[874972, 13115813, 879876, 852360, 826249]"
136,"[874972, 1060005, 1032512, 8090521, 1038462]"
137,"[874972, 1029743, 951590, 1082185, 1127831]"
138,"[874972, 912137, 9836106, 5569230, 1009449]"
139,"[12262830, 5569471, 860975, 1107553, 1058997]"
140,"[874972, 832678, 951821, 914190, 5591083]"
141,"[874972, 1108854, 1048472, 1029743, 1082185]"
142,"[874972, 1078741, 1138772, 1013826, 1082212]"
143,"[874972, 1127758, 978077, 1106523, 965766]"
144,"[874972, 1029743, 1127831, 1082185, 951590]"
145,"[874972, 1106523, 1127831, 1082185, 951590]"
146,"[874972, 893867, 1109948, 1127470, 995242]"
147,"[874972, 1029743, 1082185, 1127831, 951590]"
148,"[874972, 1082185, 1106523, 1127831, 951590]"
149,"[874972, 1029743, 1044078, 1082185, 1127831]"
150,"[874972, 1029743, 1082185, 1127831, 951590]"
151,"[874972, 1005456, 824005, 1028473, 5569230]"
152,"[874972, 1029743, 1082185, 1127831, 951590]"
153,"[874972, 909750, 853643, 1062128, 879393]"
154,"[874972, 1029743, 1082185, 1127831, 951590]"
155,"[874972, 1082185, 1106523, 1127831, 951590]"
156,"[874972, 1057260, 5591154, 976214, 5567502]"
157,"[874972, 916122, 826249, 1126899, 12524174]"
158,"[874972, 834826, 1082185, 862349, 12731714]"
159,"[874972, 9420312, 1106301, 1050851, 1087102]"
160,"[899019, 862349, 900586, 1101010, 960253]"
161,"[917384, 1119051, 6034964, 868764, 9677202]"
162,"[874972, 894447, 1070820, 10456575, 1117219]"
163,"[874972, 1029743, 1082185, 1127831, 951590]"
164,"[874972, 888054, 971949, 914577, 908283]"
165,"[874972, 1029743, 951590, 1082185, 1127831]"
166,"[874972, 1023196, 995242, 1053690, 1096635]"
167,"[874972, 1085435, 953180, 1042765, 1009046]"
168,"[874972, 921504, 878996, 1018050, 1029743]"
169,"[874972, 1037894, 12757316, 1099164, 1029743]"
170,"[874972, 1029743, 951590, 1082185, 1127831]"
171,"[933354, 9913338, 907625, 1029743, 1082185]"
172,"[874972, 1029743, 1082185, 1106523, 1127831]"
173,"[874972, 1029743, 1082185, 1127831, 951590]"
174,"[825343, 900586, 5574409, 1128016, 1050851]"
175,"[874972, 1029743, 1082185, 1127831, 951590]"
176,"[874972, 1029743, 1082185, 1127831, 951590]"
177,"[874972, 1029743, 951590, 1082185, 1127831]"
178,"[874972, 1039156, 866043, 963686, 949023]"
179,"[874972, 1029743, 1082185, 1127831, 951590]"
180,"[874972, 951590, 995242, 1082185, 1127831]"
181,"[874972, 1029743, 951590, 1082185, 1127831]"
182,"[874972, 1029743, 1082185, 1127831, 951590]"
183,"[874972, 883404, 15926712, 1029743, 1082185]"
184,"[848029, 916990, 851287, 945662, 1056746]"
185,"[874972, 835243, 1039126, 1092937, 983584]"
186,"[874972, 1029743, 1082185, 1127831, 951590]"
187,"[849202, 908531, 1055155, 971949, 961554]"
188,"[874972, 879755, 847982, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 1127831, 951590]"
190,"[874972, 942817, 825365, 1079228, 1029743]"
191,"[874972, 1015474, 1039156, 1029743, 1082185]"
192,"[874972, 9803601, 989157, 5569230, 1082212]"
193,"[1134483, 9420067, 944139, 1106523, 831712]"
194,"[874972, 825541, 923746, 1051468, 1082185]"
195,"[12262830, 1060005, 1053176, 9884484, 845193]"
196,"[970747, 1029743, 1082185, 1106523, 1127831]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[836445, 8090653, 907099, 1075368, 6979005]"
199,"[874972, 849843, 1029743, 1082185, 1106523]"
200,"[874972, 898601, 1058997, 909894, 1029743]"
201,"[874972, 989069, 948232, 847049, 1138292]"
202,"[1137346, 1019247, 829291, 1013389, 999779]"
203,"[874972, 914190, 948384, 5569471, 1029743]"
204,"[874972, 5569230, 1053690, 9911484, 921504]"
205,"[933354, 969866, 934369, 1106523, 871188]"
206,"[874972, 1029743, 1082185, 1127831, 951590]"
207,"[874972, 1029743, 1082185, 1127831, 951590]"
208,"[874972, 951190, 826249, 879504, 885290]"
209,"[825343, 9338009, 977545, 8090532, 819978]"
210,"[12262778, 911470, 1130458, 1135868, 910473]"
211,"[874972, 1110572, 1105301, 962229, 1006878]"
212,"[874972, 13842214, 847982, 1056509, 995242]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1047769, 1046816, 944836, 12782182]"
215,"[874972, 981760, 916122, 916993, 956813]"
216,"[874972, 6533936, 974204, 1029743, 1082185]"
217,"[1000753, 1046756, 845975, 1132789, 895930]"
218,"[969725, 1085604, 1053924, 894439, 895295]"
219,"[1034176, 1023196, 963835, 1135834, 916758]"
220,"[874972, 1132789, 1038462, 1016800, 1015280]"
221,"[874972, 6534077, 1075214, 12427353, 1133018]"
222,"[874972, 835285, 9926758, 883186, 6464147]"
223,"[874972, 1029743, 1127831, 1082185, 951590]"
224,"[874972, 987122, 1102879, 1029743, 1082185]"
225,"[874972, 9420312, 829291, 849297, 987122]"
226,"[874972, 1029743, 1082185, 1106523, 1127831]"
227,"[874972, 1104604, 898601, 908531, 890695]"
228,"[874972, 1101725, 1029743, 1082185, 1106523]"
229,"[874972, 1106523, 951590, 1082185, 1127831]"
230,"[874972, 845193, 856060, 1114597, 982790]"
231,"[874972, 1029743, 1082185, 1127831, 951590]"
232,"[1137346, 6534035, 870547, 1106523, 1044655]"
233,"[833940, 934369, 859237, 5591154, 1078652]"
234,"[874972, 1029743, 1082185, 1127831, 951590]"
235,"[1110111, 911470, 823862, 1070820, 862732]"
236,"[874972, 857554, 829852, 1076056, 1029743]"
237,"[874972, 1029743, 1082185, 1127831, 951590]"
238,"[874972, 1029743, 1082185, 1127831, 951590]"
239,"[874972, 1046816, 1021116, 976864, 1133018]"
240,"[12731432, 5567148, 5569230, 1131344, 888543]"
241,"[874972, 1029743, 1082185, 1106523, 1127831]"
242,"[874972, 895295, 827570, 862732, 978343]"
243,"[1075007, 1110142, 853172, 1126899, 1053690]"
244,"[874972, 849843, 1133018, 834117, 929018]"
245,"[874972, 1029743, 1082185, 1106523, 1127831]"
246,"[874972, 1051468, 822524, 1070820, 888532]"
247,"[874972, 1070845, 1098844, 1023958, 1133018]"
248,"[874972, 1029743, 1082185, 1106523, 1127831]"
249,"[874972, 1029743, 15926886, 1029743, 1082185]"
250,"[874972, 1068855, 1110218, 923169, 910473]"
251,"[874972, 936914, 960791, 1075368, 1070820]"
252,"[874972, 1029743, 1082185, 1106523, 1127831]"
253,"[874972, 1073150, 1072523, 922561, 1127758]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 1127831, 951590]"
256,"[874972, 919535, 935393, 1075368, 862349]"
257,"[874972, 883404, 993638, 1029743, 1082185]"
258,"[874972, 6979518, 1048257, 995242, 1000050]"
259,"[874972, 1011578, 1082185, 1039156, 940947]"
260,"[874972, 909714, 834117, 1045586, 15717057]"
261,"[874972, 1029743, 1082185, 1127831, 951590]"
262,"[874972, 922561, 1043751, 1040807, 12384775]"
263,"[1002787, 901460, 889649, 994223, 1109778]"
264,"[874972, 1104695, 844054, 1018740, 961554]"
265,"[874972, 1029743, 1082185, 1106523, 1127831]"
266,"[1082627, 1070820, 919423, 5569471, 902856]"
267,"[874972, 1029743, 1082185, 1106523, 1127831]"
268,"[874972, 837107, 1029743, 1082185, 1106523]"
269,"[874972, 895930, 1031831, 1139782, 962229]"
270,"[1103808, 944139, 1016276, 1053690, 1101010]"
271,"[1029688, 856252, 8090521, 1058997, 863885]"
272,"[874972, 1029743, 1082185, 1127831, 951590]"
273,"[874972, 873964, 13115501, 6979579, 12188582]"
274,"[874972, 1084177, 841228, 1029743, 1082185]"
275,"[874972, 936508, 6463451, 961269, 918638]"
276,"[12810391, 995896, 12731544, 1042942, 1052912]"
277,"[874972, 1106523, 1127831, 1082185, 951590]"
278,"[874972, 962229, 8090537, 995242, 9420312]"
279,"[874972, 1106523, 951590, 1082185, 1127831]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 1055504, 934399, 5585510]"
282,"[874972, 5572828, 1138854, 919535, 957736]"
283,"[878715, 6034577, 862682, 856252, 865705]"
284,"[874972, 996156, 12301405, 1101173, 1029743]"
285,"[874972, 839094, 1075827, 1047619, 873056]"
286,"[10198378, 1119051, 1029743, 1082185, 1106523]"
287,"[874972, 1047769, 846823, 1110042, 13008334]"
288,"[874972, 1126899, 865705, 1018050, 821083]"
289,"[874972, 10282425, 1009046, 12384177, 864279]"
290,"[874972, 867188, 873964, 962229, 952317]"
291,"[874972, 6704207, 6534480, 887984, 1044078]"
292,"[874972, 981760, 883404, 1053690, 1106523]"
293,"[874972, 1082185, 1106523, 1127831, 951590]"
294,"[874972, 1046262, 5568197, 9245108, 921836]"
295,"[874972, 1029743, 1082185, 1127831, 951590]"
296,"[874972, 1029743, 1082185, 1127831, 951590]"
297,"[874972, 1004950, 831063, 6704207, 1110572]"
298,"[874972, 1029743, 1082185, 1127831, 951590]"
299,"[874972, 1029743, 1082185, 1127831, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 1127831]"
301,"[874972, 844165, 9571047, 1094924, 9677236]"
302,"[874972, 1005274, 1062128, 887342, 1101174]"
303,"[874972, 9526673, 950206, 1102416, 9337581]"
304,"[874972, 6464147, 1021519, 873627, 1107553]"
305,"[874972, 9858847, 913210, 1011876, 1029743]"
306,"[874972, 825541, 5591154, 1101010, 868423]"
307,"[874972, 1036139, 970202, 1074040, 1039156]"
308,"[874972, 950206, 892503, 1110572, 947658]"
309,"[874972, 1029743, 1127831, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 1127831, 951590]"
311,"[874972, 882826, 823862, 1110572, 1029743]"
312,"[874972, 6551782, 906262, 901776, 936830]"
313,"[874972, 1029743, 1082185, 1127831, 951590]"
314,"[833940, 1133018, 878996, 825176, 995965]"
315,"[874972, 1029743, 1082185, 1127831, 951590]"
316,"[836445, 1106301, 5585510, 1122358, 1131344]"
317,"[874972, 1107553, 1101010, 12171656, 983584]"
318,"[874972, 1106301, 977481, 5568729, 918335]"
319,"[874972, 1127831, 995242, 1082185, 951590]"
320,"[874972, 1082185, 1106523, 1127831, 951590]"
321,"[874972, 990897, 856772, 944836, 964520]"
322,"[874972, 12984227, 1044078, 901062, 941734]"
323,"[826666, 902856, 1122358, 921836, 1039627]"
324,"[9521679, 999625, 6423911, 1026258, 845715]"
325,"[12810464, 901460, 896085, 1011300, 5569471]"
326,"[874972, 879504, 1040807, 8090521, 1101010]"
327,"[874972, 1133018, 884774, 883963, 15926844]"
328,"[874972, 991546, 977658, 885290, 1070820]"
329,"[948670, 888532, 919180, 819927, 934369]"
330,"[874972, 9420312, 1053690, 1106523, 5592931]"
331,"[874972, 862349, 1082185, 1029743, 1082185]"
332,"[874972, 1070803, 5565925, 1011300, 10457044]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 6034577, 860975, 1056509, 1029743]"
335,"[874972, 1029743, 1127831, 1082185, 951590]"
336,"[874972, 1029743, 951590, 1082185, 1127831]"
337,"[874972, 1082185, 1106523, 1127831, 951590]"
338,"[874972, 1039156, 895268, 1028816, 1053690]"
339,"[874972, 1044188, 840361, 1106523, 1051211]"
340,"[874972, 1082185, 1106523, 1127831, 951590]"
341,"[874972, 1029743, 1082185, 1127831, 951590]"
342,"[1000753, 870515, 854852, 847982, 1029743]"
343,"[874972, 1040807, 865705, 1018740, 954673]"
344,"[874972, 1029743, 5569230, 1082185, 1127831]"
345,"[874972, 1071759, 999639, 6602697, 1040371]"
346,"[825343, 863699, 909338, 986912, 819978]"
347,"[874972, 1024306, 930118, 1029743, 1082185]"
348,"[947858, 1031083, 1015296, 985893, 1014238]"
349,"[874972, 889649, 900802, 995242, 963365]"
350,"[874972, 1106523, 1044078, 1029743, 1082185]"
351,"[1000753, 13115914, 6602697, 894439, 1057260]"
352,"[874972, 1029743, 1082185, 1127831, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1058997, 884686, 1097001, 1008814]"
355,"[874972, 1029743, 1082185, 1127831, 951590]"
356,"[874972, 1049735, 1084968, 1029743, 1082185]"
357,"[833940, 909894, 908531, 1133018, 10344586]"
358,"[981677, 1048462, 997907, 862010, 5568489]"
359,"[874972, 1029743, 1082185, 1127831, 951590]"
360,"[874972, 1110572, 1037894, 1031831, 1029743]"
361,"[970866, 1002771, 1053690, 962229, 1082212]"
362,"[874972, 983795, 1072693, 12731714, 826816]"
363,"[874972, 1029743, 1082185, 1127831, 951590]"
364,"[874972, 962229, 860975, 1106301, 1132911]"
365,"[874972, 924427, 832678, 5572828, 956672]"
366,"[874972, 858302, 1065593, 957741, 1128240]"
367,"[9524291, 993466, 837865, 1031864, 823775]"
368,"[874972, 1029743, 1082185, 1127831, 951590]"
369,"[874972, 8090509, 986912, 1016276, 1106523]"
370,"[874972, 1029743, 1082185, 1127831, 951590]"
371,"[874972, 1037332, 1070820, 928123, 1102927]"
372,"[874972, 1106523, 1127831, 1082185, 951590]"
373,"[874972, 986912, 999779, 9926758, 883404]"
374,"[1108094, 1009046, 7409670, 1029743, 923746]"
375,"[874972, 885023, 1058021, 1029743, 1082185]"
376,"[874972, 1104604, 1095068, 849843, 1112766]"
377,"[874972, 959985, 994223, 1138443, 1029743]"
378,"[874972, 910673, 1035843, 9859060, 1009046]"
379,"[874972, 1029743, 1082185, 1127831, 951590]"
380,"[1013928, 924427, 1124695, 1098284, 1082212]"
381,"[874972, 819927, 9858794, 15926887, 987122]"
382,"[874972, 926905, 1043787, 7168026, 7025202]"
383,"[874972, 1058997, 890695, 829722, 854754]"
384,"[825343, 10344971, 13008459, 1075368, 13416351]"
385,"[874972, 1010190, 1131321, 921504, 914577]"
386,"[874972, 893501, 1039126, 1108131, 863449]"
387,"[878715, 916990, 1109778, 1126899, 8090536]"
388,"[874972, 1031083, 1076608, 853643, 995242]"
389,"[887474, 947798, 849003, 13115981, 856252]"
390,"[874972, 927860, 999714, 1029743, 1082185]"
391,"[874972, 1106523, 951590, 1082185, 1127831]"
392,"[874972, 825176, 9487606, 1028473, 6034577]"
393,"[1013928, 896085, 1070272, 1108168, 1029743]"
394,"[9521679, 13842090, 921836, 986912, 885290]"
395,"[874972, 1098066, 1053690, 5568378, 926233]"
396,"[874972, 993441, 1082185, 1135460, 834103]"
397,"[874972, 978343, 951176, 892573, 1058997]"
398,"[874972, 5569230, 916381, 1102879, 995242]"
399,"[874972, 1029743, 1127831, 1082185, 951590]"
400,"[874972, 901776, 6979803, 5567702, 883404]"
401,"[874972, 5574409, 1068957, 827683, 883202]"
402,"[970747, 821083, 1051468, 13842214, 819978]"
403,"[874972, 1029743, 1127831, 1082185, 951590]"
404,"[874972, 5569471, 864279, 835279, 971983]"
405,"[874972, 906883, 1126808, 962229, 13842088]"
406,"[874972, 862349, 934399, 1116821, 1082185]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 951590, 1082185, 1127831]"
409,"[874972, 862349, 909750, 8090536, 1125943]"
410,"[874972, 911812, 948384, 962229, 995242]"
411,"[874972, 1029743, 1082185, 1106523, 1127831]"
412,"[874972, 6463717, 1082185, 986912, 860975]"
413,"[874972, 5585510, 838186, 5569230, 1106523]"
414,"[874972, 1093413, 1102927, 1082212, 971922]"
415,"[874972, 999104, 1056509, 960791, 1133018]"
416,"[874972, 1106523, 951590, 1082185, 1127831]"
417,"[874972, 1016129, 829722, 5578547, 1081189]"
418,"[874972, 1119405, 1020962, 12263788, 1065061]"
419,"[874972, 1106523, 951590, 1082185, 1127831]"
420,"[874972, 961747, 1029743, 1029743, 1082185]"
421,"[874972, 1092588, 6533936, 1139782, 1125943]"
422,"[874972, 1127831, 995242, 1082185, 951590]"
423,"[874972, 1029743, 1127831, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 1127831, 951590]"
425,"[866548, 1092303, 1048727, 1070820, 969419]"
426,"[874972, 1110409, 1101706, 1057260, 899682]"
427,"[874972, 1110255, 840361, 995242, 1082185]"
428,"[874972, 951590, 995242, 1082185, 1127831]"
429,"[874972, 835278, 5585510, 1056509, 995242]"
430,"[874972, 1075368, 995242, 1042571, 962229]"
431,"[874972, 1029743, 1082185, 1127831, 951590]"
432,"[874972, 907128, 1002771, 975649, 919596]"
433,"[995151, 1137344, 1013531, 1106523, 1082185]"
434,"[874972, 10121965, 1048462, 1039781, 1081189]"
435,"[874972, 8177622, 930344, 1135681, 899624]"
436,"[874972, 981760, 5569230, 1029743, 1082185]"
437,"[948670, 1039156, 1029743, 1082185, 1106523]"
438,"[874972, 1019247, 1064213, 926905, 9881593]"
439,"[874972, 1029743, 1082185, 1127831, 951590]"
440,"[874972, 1029743, 1082185, 1127831, 951590]"
441,"[874972, 1009046, 1038985, 12810393, 1124971]"
442,"[874972, 911311, 909894, 1085604, 1126899]"
443,"[874972, 944823, 7463287, 1057260, 9396705]"
444,"[874972, 1029743, 1082185, 1127831, 951590]"
445,"[874972, 1029743, 1082185, 1127831, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 1127831]"
447,"[874972, 986912, 1048507, 1057260, 995242]"
448,"[874972, 1029743, 1127831, 1082185, 951590]"
449,"[970866, 1053690, 819927, 971922, 1024731]"
450,"[12810391, 1101010, 923746, 13842214, 995242]"
451,"[874972, 963868, 999971, 1004906, 916122]"
452,"[874972, 1106523, 1127831, 1082185, 951590]"
453,"[874972, 1029743, 951590, 1082185, 1127831]"
454,"[9835223, 1016800, 935993, 1083787, 1023958]"
455,"[874972, 1082185, 1106523, 1127831, 951590]"
456,"[874972, 1029743, 1082185, 1127831, 951590]"
457,"[874972, 844165, 1095040, 911311, 1029743]"
458,"[874972, 5587938, 1139493, 1058997, 1023958]"
459,"[863762, 1075313, 885290, 972312, 1029743]"
460,"[874972, 981760, 826385, 1029743, 1082185]"
461,"[874972, 909714, 979566, 995242, 1050851]"
462,"[874972, 1043751, 854042, 824180, 995242]"
463,"[948670, 933067, 1046689, 835243, 12810393]"
464,"[874972, 9677236, 1072693, 856252, 952972]"
465,"[874972, 1106523, 1127831, 1082185, 951590]"
466,"[874972, 832001, 10341697, 859191, 1029743]"
467,"[874972, 1135886, 1021562, 1110692, 834117]"
468,"[874972, 9803810, 846334, 1098284, 1122358]"
469,"[874972, 885356, 10150194, 819978, 862349]"
470,"[874972, 1030093, 9420312, 990256, 933060]"
471,"[874972, 982799, 852360, 8090521, 883202]"
472,"[874972, 1082185, 1106523, 1127831, 951590]"
473,"[874972, 1106523, 951590, 1082185, 1127831]"
474,"[874972, 1030093, 1065593, 1029743, 1082185]"
475,"[874972, 1106523, 916122, 1082185, 1127831]"
476,"[874972, 1029743, 1082185, 1127831, 951590]"
477,"[948670, 879755, 13115579, 1029743, 869573]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 1127831]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 5569230, 1082185, 1127831]"
482,"[836445, 8090537, 1101010, 1138443, 1025581]"
483,"[874972, 879755, 1077588, 1029743, 1082185]"
484,"[833940, 819330, 995242, 1044759, 827806]"
485,"[12810391, 868764, 7166791, 6533608, 912112]"
486,"[874972, 1029743, 1082185, 1127831, 951590]"
487,"[874972, 7169034, 906763, 1029743, 1082185]"
488,"[874972, 1029743, 1127831, 1082185, 951590]"
489,"[874972, 845715, 13115501, 1019247, 862010]"
490,"[874972, 1029743, 1127831, 1082185, 951590]"
491,"[874972, 1051468, 994223, 9858847, 1100972]"
492,"[874972, 1029743, 1127831, 1082185, 951590]"
493,"[874972, 1003188, 1017363, 948086, 840227]"
494,"[874972, 1029743, 1082185, 1127831, 951590]"
495,"[12810391, 930283, 940731, 995965, 995242]"
496,"[874972, 1029743, 1082185, 1127831, 951590]"
497,"[874972, 7410290, 911088, 942778, 837304]"
498,"[874972, 1029743, 1082185, 1127831, 951590]"
499,"[874972, 1029743, 1082185, 1127831, 951590]"
500,"[874972, 1029743, 1082185, 1127831, 951590]"
501,"[874972, 1029743, 1082185, 1127831, 951590]"
502,"[874972, 910473, 12427353, 1131344, 1029743]"
503,"[874972, 1060408, 1003188, 8090536, 1073150]"
504,"[874972, 1029743, 1082185, 1127831, 951590]"
505,"[874972, 1127716, 1029743, 1082185, 1106523]"
